Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Duration_ms,Genre,Song Title
,,,,,,,,,
0.0651,0.926,5,-4.355,0.108,0.00638,3.88E-05,91507,Trap Metal,Call Of The Baphomet
0.0753,0.936,7,-7.331,0.0777,0.00515,0.906,324387,Trap Metal,Symbols of Bloodswords
0.0979,0.341,9,-11.963,0.0342,0.0841,0.36,250667,Dark Trap,Before The Storm
0.106,0.849,4,-3.737,0.121,0.000199,0.000803,142951,Trap Metal,PAIN
0.111,0.952,0,-4.864,0.131,0.00163,0.00645,439213,Emo,Through The Fire And Flames
0.116,0.957,0,-4.246,0.256,0.00615,0.623,177735,Trap Metal,Love is Just a Bad Acid Trip
0.119,0.191,8,-12.301,0.0351,8.89E-05,0.832,141818,Dark Trap,Going Under
0.131,0.519,0,-9.123,0.034,0.79,0.904,279273,Dark Trap,The Day My Reflection Took My Place
0.136,0.821,3,-5.454,0.16,0.0965,0.0291,101983,Dark Trap,Intro.Desolation
0.136,0.821,3,-5.454,0.16,0.0965,0.0291,101983,Trap Metal,Intro.Desolation
0.137,0.54,5,-8.009,0.0374,0.0233,0.926,243200,Dark Trap,Thy Gods Worship Death
0.141,0.121,0,-15.594,0.04,0.697,0.919,147692,Dark Trap,Signal Loss And The Abaissement Of Cohesion
0.142,0.74,5,-5.621,0.0748,0.000564,0.000294,258960,Dark Trap,Rush
0.144,0.586,9,-5.906,0.0345,0.000805,0.215,133565,Dark Trap,Mirae
0.147,0.0393,5,-24.563,0.0387,0.86,0.944,172520,Emo,Rose
0.155,0.679,1,-8.105,0.0364,2.14E-06,5.38E-06,70942,Trap Metal,BLOODBATH
0.155,0.883,7,-9.13,0.0806,1.21E-06,0.963,217720,Trap Metal,Necrolust
0.156,0.505,3,-7.576,0.05,0.000338,0.107,252000,Dark Trap,BOI
0.156,0.934,2,-3.226,0.171,0.0111,0,253200,Emo,We All Make Mistakes
0.158,0.489,1,-9.607,0.0367,0.105,0.233,226244,Dark Trap,Spearhead - (Druid Weightless Mix)
0.158,0.568,9,-8.109,0.0399,1.07E-06,0.986,292800,Dark Trap,Wizards Only
0.159,0.743,7,-4.547,0.0526,0.000106,0.109,228000,Dark Trap,R N R
0.16,0.953,0,-4.542,0.453,0.000195,0,105612,Trap Metal,Abyss
0.16,0.0944,9,-11.117,0.0386,0.922,0.945,93094,Dark Trap,Obsidian (Intro)
0.16,0.71,8,-7.126,0.0695,0.00147,0.834,318844,Dark Trap,The Arrival
0.164,0.815,10,-3.867,0.0364,6.37E-05,0.807,135285,Trap Metal,Tantrum
0.166,0.69,2,-8.135,0.0436,0.000405,0.0612,251236,Dark Trap,last breath
0.166,0.803,9,-7.32,0.0454,7.90E-05,0.0488,216971,Dark Trap,We're Burning
0.167,0.851,4,-4.039,0.0421,0.0127,0,291360,Emo,With Me
0.168,0.974,4,-9.116,0.112,3.05E-05,0.641,383053,Trap Metal,Freezing Moon
0.169,0.839,4,-6.772,0.092,0.00945,0.58,205536,Dark Trap,If You Leave
0.169,0.333,11,-15.368,0.0331,0.845,0.919,95333,Dark Trap,Missing
0.169,0.613,3,-6.367,0.0398,0.663,0.0184,141044,Trap Metal,only you
0.171,0.000602,10,-6.859,0.0488,0.00429,0.815,124594,Dark Trap,End_world (Outro)
0.171,0.803,4,-8.032,0.0568,0.694,0.964,301186,Dark Trap,Recover
0.173,0.958,7,-1.841,0.116,0.000683,1.30E-05,150094,Trap Metal,TELL ME YXU LXVE ME
0.173,0.622,0,-12.551,0.0711,0.0855,0.971,218585,Dark Trap,Thief
0.173,0.676,1,-5.076,0.0824,0.0676,6.31E-06,160000,Dark Trap,"You Were My Everything, but Now You're Gone"
0.174,0.484,4,-12.72,0.0526,0.28,3.69E-05,196000,Dark Trap,Shouko Nishimiya
0.174,0.838,9,-8.264,0.058,0.0352,0.868,250435,Dark Trap,Water
0.175,0.736,4,-6.175,0.0413,0.00614,0.844,180236,Trap Metal,u r all i hoped for
0.175,0.968,8,-1.956,0.291,0.0822,0.765,206824,Dark Trap,Uno
0.176,0.0148,2,-32.929,0.0376,0.955,0.921,132907,Emo,A Life So Changed
0.177,0.64,9,-4.27,0.0399,0.01,0,284056,Dark Trap,Cyberbrain
0.178,0.391,11,-16.405,0.043,0.949,0.964,204875,Dark Trap,Celestial
0.178,0.683,9,-3.349,0.0351,0.242,0.321,280000,Dark Trap,Faith
0.179,0.912,4,-3.881,0.0791,0.0014,0.000294,231533,Emo,The Kill
0.179,0.912,4,-3.881,0.0791,0.0014,0.000294,231533,Emo,The Kill (Bury Me)
0.18,0.867,6,-5.337,0.217,9.00E-05,0,228067,Emo,Diamonds Aren't Forever
0.18,0.89,1,-6.073,0.552,0.00433,0,136784,Trap Metal,KEEP TALKING
0.18,0.799,8,-4.793,0.0531,0.00236,0.97,254433,Dark Trap,To Die Without Scars
0.184,0.907,9,-4.281,0.106,0.00231,0.67,117953,Trap Metal,MO$HP!T
0.185,0.948,9,-4.158,0.446,0.000889,0.163,214884,Dark Trap,Don't Like (Enjoii Remix)
0.186,0.948,9,-4.157,0.432,0.000881,0.188,214884,Dark Trap,Don't Like (Enjoii Flip) [feat. Niteboi]
0.186,0.764,1,-5.758,0.0602,0.00167,0.837,246400,Dark Trap,Idontwannawakeup
0.186,0.764,1,-5.758,0.0602,0.00167,0.837,246400,Dark Trap,idontwannawakeup
0.19,0.265,9,-9.206,0.0356,0.863,0,262533,Emo,My Immortal
0.191,0.692,1,-5.829,0.0536,0.0649,0.217,191800,Dark Trap,DARK DAYS
0.191,0.441,4,-13.191,0.0751,0.588,0.0993,414467,RnB,I'm Not In Love
0.191,0.537,9,-6.637,0.0446,0.0346,0.0138,336000,Dark Trap,Revelation
0.191,0.673,4,-9.178,0.0576,0.0255,0.000706,150000,Trap Metal,The Way Is Urs
0.192,0.757,9,-5.253,0.0844,4.68E-05,0.00133,243467,Emo,This Could Be Anywhere In The World
0.194,0.881,4,-11.612,0.0745,4.06E-06,0.815,304587,Trap Metal,Dødskamp
0.194,0.978,0,-4.802,0.227,0.00131,0,274034,Emo,"Sometimes You're the Hammer, Sometimes You're the Nail"
0.195,0.781,2,-4.537,0.073,0.0351,0.0454,207077,Trap Metal,USED TO BE
0.196,0.665,8,-8.144,0.0902,0.0016,0.011,218073,Dark Trap,Tokyo
0.197,0.567,9,-9.717,0.0481,3.88E-05,0.891,187429,Dark Trap,Horizon
0.197,0.798,2,-7.334,0.0656,0.000545,0.414,261387,Hiphop,Smokin'
0.198,0.162,1,-15.815,0.0343,0.926,0.00896,185523,RnB,Loose
0.199,0.935,1,-3.471,0.157,0.000204,0,177240,Emo,It's Complicated
0.202,0.886,11,-3.805,0.0816,0.0286,0,194253,Emo,The Ghost of You
0.202,0.797,6,-5.809,0.0729,0.0163,3.83E-06,241640,Emo,The Quiet Things That No One Ever Knows
0.203,0.956,5,-3.648,0.0938,6.33E-06,0.00435,78590,Trap Metal,Pink Mist
0.204,0.704,5,-8.106,0.0555,0.0195,0.00706,126000,Dark Trap,Apathy
0.204,0.265,9,-9.153,0.0323,0.869,0,262533,Emo,My Immortal
0.204,0.896,4,-5.87,0.103,0.00558,0.00832,278067,Emo,Tourniquet
0.204,0.77,7,-2.528,0.042,0.00698,0,239120,Emo,You're Dead Wrong
0.205,0.979,7,-1.913,0.219,0.0924,0.536,191715,Dark Trap,Like a Prayer
0.206,0.822,8,-7.225,0.0611,0.395,0.926,227200,Dark Trap,Fallvind
0.206,0.908,9,-4.291,0.104,3.34E-05,0.0008,184920,Emo,Get Out
0.207,0.953,11,-4.635,0.153,0.000166,0.00927,244520,Emo,Hollow
0.207,0.894,4,-5.873,0.203,0.000854,2.34E-05,239880,Emo,Note to Self
0.207,0.935,8,-3.736,0.459,0.209,2.42E-05,135812,Trap Metal,Woundsalt
0.208,0.781,11,-6.065,0.046,0.000508,4.47E-05,198857,Dark Trap,Catching Metal
0.208,0.785,9,-5.091,0.15,0.0463,0,140952,Trap Metal,MAD MAN
0.208,0.557,9,-5.831,0.0387,0.000932,0.226,133565,Dark Trap,Miræ
0.208,0.342,6,-8.702,0.0327,0.875,3.00E-06,239813,Emo,Untitled (How Could This Happen to Me?)
0.208,0.342,6,-8.702,0.0327,0.875,3.00E-06,239813,Emo,Untitled (How Could This Happen to Me?)
0.209,0.417,3,-8.74,0.0338,0.164,0.00196,295533,Emo,Fix You
0.209,0.417,3,-8.74,0.0338,0.164,0.00196,295533,Pop,Fix You
0.21,0.94,9,-3.427,0.123,0.00602,0,186480,Emo,I'm Not Okay (I Promise)
0.21,0.813,6,-6.085,0.0423,0.00035,0.000228,388200,Dark Trap,Know Your Worth
0.211,0.989,10,-4.912,0.405,0.11,0.529,60970,Trap Metal,Ghost: I Can't Remember the Ending of My Dream and Its Killing Me (Interlude)
0.211,0.984,7,-2.886,0.104,0.00026,2.52E-06,297240,Emo,Love the Way You Lie
0.212,0.963,1,-4.026,0.113,0.00199,9.93E-06,255040,Emo,My Blue Heaven - Live From Long Beach
0.212,0.926,7,-3.378,0.14,0.000725,4.83E-06,348387,Emo,Tears Don't Fall
0.212,0.926,7,-3.378,0.14,0.000725,4.83E-06,348387,Emo,Tears Don't Fall
0.214,0.306,5,-16.342,0.0441,0.124,0.988,99429,Dark Trap,So Polite
0.215,0.816,5,-4.13,0.0387,0.000354,0.237,236000,Dark Trap,Love
0.216,0.497,10,-8.025,0.0371,0.128,2.39E-06,265480,Hiphop,ARE WE STILL FRIENDS?
0.216,0.476,8,-9.702,0.0589,0.372,0.174,190038,Dark Trap,EverythingJustHurts
0.216,0.932,4,-7.112,0.105,1.93E-06,0.573,293320,Trap Metal,Slaves
0.217,0.175,5,-14.232,0.0376,0.868,0.825,99412,Dark Trap,nobody here
0.217,0.905,2,-4.103,0.0752,0.000289,0.00011,311107,Emo,Welcome to the Black Parade
0.217,0.905,2,-4.103,0.0752,0.000289,0.00011,311107,Emo,Welcome to the Black Parade
0.219,0.958,0,-8.005,0.0448,5.06E-05,0,172653,Emo,I Will Survive
0.219,0.807,10,-6.783,0.271,0.0475,0.51,266139,Dark Trap,Lost
0.219,0.573,1,-4.473,0.0381,0.807,0,132764,Dark Trap,Skin
0.22,0.905,9,-3.084,0.125,0.00659,0.000401,215226,Dark Trap,I Don't Know You (feat. Luma) - Heimanu Remix
0.22,0.331,8,-9.653,0.0792,0.323,0.876,156571,Dark Trap,Pathways
